identifier,category,detailed
cp-recycling-disruptors-0001,Acrylic > 5%,
cp-recycling-disruptors-0002,Adhesives non water soluble at 80 degrees,
cp-recycling-disruptors-0003,Breakdown products of intentionally added substances,
cp-recycling-disruptors-0004,Carbon Black,
cp-recycling-disruptors-0005,Colour,
cp-recycling-disruptors-0006,Compostable/ biodegradable,
cp-recycling-disruptors-0007,Contains fragments of Glass,
cp-recycling-disruptors-0008,Contains fragments of PS,
cp-recycling-disruptors-0009,Contains fragments of PVC,
cp-recycling-disruptors-0010,EVA with Aluminium,
cp-recycling-disruptors-0011,EVOH > 5 %,
cp-recycling-disruptors-0012,Foamed thermoplastic non-polyolefin elastomers,
cp-recycling-disruptors-0013,Hazardous Contents (chemicals, household cleaning, oils etc.),
cp-recycling-disruptors-0014,Inks that bleed,
cp-recycling-disruptors-0015,Inks that contain PVC,
cp-recycling-disruptors-0016,Labels > 30 % of surface area,
cp-recycling-disruptors-0017,Laminated metal foil,
cp-recycling-disruptors-0018,Metal components,
cp-recycling-disruptors-0019,non PO > 10%,
cp-recycling-disruptors-0020,Nylon Barriers,
cp-recycling-disruptors-0021,Oxydegradable / OBD,
cp-recycling-disruptors-0022,Paper Label,
cp-recycling-disruptors-0023,PE Seal Layer,
cp-recycling-disruptors-0024,Print covering > 50 %,
cp-recycling-disruptors-0025,PVdC,
cp-recycling-disruptors-0026,PVOH > 5%,
cp-recycling-disruptors-0027,Residue - biological,
cp-recycling-disruptors-0028,Residue - chemical,
cp-recycling-disruptors-0029,Residue - food,
cp-recycling-disruptors-0030,Too Big,
cp-recycling-disruptors-0031,Too Small,
