identifier,category,detailed
c-recycling-disruptors-0001,Acrylic > 5%,
c-recycling-disruptors-0002,Acrylic Barriers,
c-recycling-disruptors-0003,Adhesives non water soluble at 80 degrees,
c-recycling-disruptors-0004,Biological residue,
c-recycling-disruptors-0005,Breakdown products of intentionally added substances,
c-recycling-disruptors-0006,Carbon Black,
c-recycling-disruptors-0007,Chemical residue,
c-recycling-disruptors-0008,Colour,
c-recycling-disruptors-0009,Compostable/ biodegradable,
c-recycling-disruptors-0010,Contains fragments of Glass,
c-recycling-disruptors-0011,EVA with Aluminium,
c-recycling-disruptors-0012,EVOH > 5 %,
c-recycling-disruptors-0013,Fillers that increase density PP above 0.97 g/cm2,
c-recycling-disruptors-0014,Fillers that increase density of HDPE above 0.995 g/cm2,
c-recycling-disruptors-0015,Foamed thermoplastic non-polyolefin elastomers,
c-recycling-disruptors-0016,Food residue,
c-recycling-disruptors-0017,Hazardous Contents (chemicals, household cleaning),
c-recycling-disruptors-0018,Inks that contain PVC,
c-recycling-disruptors-0019,Inks that bleed,
c-recycling-disruptors-0020,Laminated metal foil,
c-recycling-disruptors-0021,Labels > 30 % of surface area,
c-recycling-disruptors-0022,Metal components,
c-recycling-disruptors-0023,non PO > 10%,
c-recycling-disruptors-0024,Non-intentionally added substances,
c-recycling-disruptors-0025,Nylon Barriers,
c-recycling-disruptors-0026,Oxydegradable / OBD,
c-recycling-disruptors-0027,Paper Label,
c-recycling-disruptors-0028,PE Seal Layer,
c-recycling-disruptors-0029,Potential interaction between packaging and product,
c-recycling-disruptors-0030,Print covering > 50 %,
c-recycling-disruptors-0031,PS fragments,
c-recycling-disruptors-0032,PVC fragments,
c-recycling-disruptors-0033,PVdC,
c-recycling-disruptors-0034,PVOH > 5%,
c-recycling-disruptors-0035,Silicone Valves,
c-recycling-disruptors-0036,SiOX > 5%,
c-recycling-disruptors-0037,Substances of very high concern,
c-recycling-disruptors-0038,Too Big,
c-recycling-disruptors-0039,Too Small,
