identifier,category,detailed
m-material-purpose-0001,acid scavenger,
m-material-purpose-0002,adhesive,
m-material-purpose-0003,antioxidant,
m-material-purpose-0004,antistatic agent,
m-material-purpose-0005,barrier,
m-material-purpose-0006,coating,
m-material-purpose-0007,fire retardant,
m-material-purpose-0008,light and heat stabilizer,
m-material-purpose-0009,lubricant,
m-material-purpose-0010,pigment,
m-material-purpose-0011,plasticizer,
m-material-purpose-0012,preservation,
m-material-purpose-0013,print,
m-material-purpose-0014,slip compound,
m-material-purpose-0015,structure,
m-material-purpose-0016,thermal stabilizer,
