identifier,category,detailed
material-component-catalogue-purpose-0001,acid scavenger,
material-component-catalogue-purpose-0002,adhesive,
material-component-catalogue-purpose-0003,antioxidant,
material-component-catalogue-purpose-0004,antistatic agent,
material-component-catalogue-purpose-0005,barrier,
material-component-catalogue-purpose-0006,coating,
material-component-catalogue-purpose-0007,fire retardant,
material-component-catalogue-purpose-0008,light and heat stabilizer,
material-component-catalogue-purpose-0009,lubricant,
material-component-catalogue-purpose-0010,pigment,
material-component-catalogue-purpose-0011,plasticizer,
material-component-catalogue-purpose-0012,preservation,
material-component-catalogue-purpose-0013,print,
material-component-catalogue-purpose-0014,slip compound,
material-component-catalogue-purpose-0015,structure,
material-component-catalogue-purpose-0016,thermal stabilizer,
