identifier,category,detailed
material-component-catalogue-function-0001,acid scavenger,
material-component-catalogue-function-0002,adhesive,
material-component-catalogue-function-0003,antioxidant,
material-component-catalogue-function-0004,antistatic agent,
material-component-catalogue-function-0005,barrier,
material-component-catalogue-function-0006,coating,
material-component-catalogue-function-0007,fire retardant,
material-component-catalogue-function-0008,light and heat stabilizer,
material-component-catalogue-function-0009,lubricant,
material-component-catalogue-function-0010,pigment,
material-component-catalogue-function-0011,plasticizer,
material-component-catalogue-function-0012,preservation,
material-component-catalogue-function-0013,print,
material-component-catalogue-function-0014,slip compound,
material-component-catalogue-function-0015,structure,
material-component-catalogue-function-0016,thermal stabilizer,
