identifier,category,detailed
complete-packaging-disruptors-0001,Acrylic > 5%,
complete-packaging-disruptors-0002,Acrylic Barriers,
complete-packaging-disruptors-0003,Adhesives non water soluble at 80 degrees,
complete-packaging-disruptors-0004,Biological residue,
complete-packaging-disruptors-0005,Breakdown products of intentionally added substances,
complete-packaging-disruptors-0006,Carbon Black,
complete-packaging-disruptors-0007,Chemical residue,
complete-packaging-disruptors-0008,Colour,
complete-packaging-disruptors-0009,Compostable/ biodegradable,
complete-packaging-disruptors-0010,Contains fragments of Glass,
complete-packaging-disruptors-0011,EVA with Aluminium,
complete-packaging-disruptors-0012,EVOH > 5 %,
complete-packaging-disruptors-0013,Fillers that increase density PP above 0.97 g/cm2,
complete-packaging-disruptors-0014,Fillers that increase density of HDPE above 0.995 g/cm2,
complete-packaging-disruptors-0015,Foamed thermoplastic non-polyolefin elastomers,
complete-packaging-disruptors-0016,Food residue,
complete-packaging-disruptors-0017,"Hazardous Contents (chemicals, household cleaning)",
complete-packaging-disruptors-0018,Inks that contain PVC,
complete-packaging-disruptors-0019,Inks that bleed,
complete-packaging-disruptors-0020,Laminated metal foil,
complete-packaging-disruptors-0021,Labels > 30 % of surface area,
complete-packaging-disruptors-0022,Metal components,
complete-packaging-disruptors-0023,non PO > 10%,
complete-packaging-disruptors-0024,Non-intentionally added substances,
complete-packaging-disruptors-0025,Nylon Barriers,
complete-packaging-disruptors-0026,Oxydegradable / OBD,
complete-packaging-disruptors-0027,Paper Label,
complete-packaging-disruptors-0028,PE Seal Layer,
complete-packaging-disruptors-0029,Potential interaction between packaging and product,
complete-packaging-disruptors-0030,Print covering > 50 %,
complete-packaging-disruptors-0031,PS fragments,
complete-packaging-disruptors-0032,PVC fragments,
complete-packaging-disruptors-0033,PVdC,
complete-packaging-disruptors-0034,PVOH > 5%,
complete-packaging-disruptors-0035,Silicone Valves,
complete-packaging-disruptors-0036,SiOX > 5%,
complete-packaging-disruptors-0037,Substances of very high concern,
complete-packaging-disruptors-0038,Too Big,
complete-packaging-disruptors-0039,Too Small,
