identifier,category,detailed
component-catalogue-shape-0001,aerosol,
component-catalogue-shape-0002,ambiente,
component-catalogue-shape-0003,bag,
component-catalogue-shape-0004,bag,
component-catalogue-shape-0005,barrel,
component-catalogue-shape-0006,blister pack,
component-catalogue-shape-0007,bottle,
component-catalogue-shape-0008,brick,
component-catalogue-shape-0009,bucket,
component-catalogue-shape-0010,cage,
component-catalogue-shape-0011,can,
component-catalogue-shape-0012,canister,
component-catalogue-shape-0013,cap,
component-catalogue-shape-0014,carton,
component-catalogue-shape-0015,case,
component-catalogue-shape-0016,container,
component-catalogue-shape-0017,crate,
component-catalogue-shape-0018,cube,
component-catalogue-shape-0019,cup,
component-catalogue-shape-0020,cylinder,
component-catalogue-shape-0021,dispense,
component-catalogue-shape-0022,envelope,
component-catalogue-shape-0023,film,
component-catalogue-shape-0024,gable,
component-catalogue-shape-0025,jar,
component-catalogue-shape-0026,jerrycan,
component-catalogue-shape-0027,jug,
component-catalogue-shape-0028,label,
component-catalogue-shape-0029,lid,
component-catalogue-shape-0030,net,
component-catalogue-shape-0031,pallet,
component-catalogue-shape-0032,peel pack,
component-catalogue-shape-0033,plug,
component-catalogue-shape-0034,pot,
component-catalogue-shape-0035,pot,
component-catalogue-shape-0036,pouch,
component-catalogue-shape-0037,pump,
component-catalogue-shape-0038,rack,
component-catalogue-shape-0039,rectangle,
component-catalogue-shape-0040,reel,
component-catalogue-shape-0041,rod,
component-catalogue-shape-0042,roll,
component-catalogue-shape-0043,sachet,
component-catalogue-shape-0044,shrinkwrap,
component-catalogue-shape-0045,sleeve,
component-catalogue-shape-0046,stretchwrap,
component-catalogue-shape-0047,tray,
component-catalogue-shape-0048,tub,
component-catalogue-shape-0049,tub,
component-catalogue-shape-0050,tube,
component-catalogue-shape-0051,vial,
component-catalogue-shape-0052,wire,
component-catalogue-shape-0053,wrapper,
