identifier,category,detailed
component-catalogue-disruptors-0001,Acrylic > 5%,
component-catalogue-disruptors-0002,Acrylic Barriers,
component-catalogue-disruptors-0003,Adhesives non water soluble at 80 degrees,
component-catalogue-disruptors-0004,Biological residue,
component-catalogue-disruptors-0005,Breakdown products of intentionally added substances,
component-catalogue-disruptors-0006,Carbon Black,
component-catalogue-disruptors-0007,Chemical residue,
component-catalogue-disruptors-0008,Colour,
component-catalogue-disruptors-0009,Compostable/ biodegradable,
component-catalogue-disruptors-0010,Contains fragments of Glass,
component-catalogue-disruptors-0011,EVA with Aluminium,
component-catalogue-disruptors-0012,EVOH > 5 %,
component-catalogue-disruptors-0013,Fillers that increase density PP above 0.97 g/cm2,
component-catalogue-disruptors-0014,Fillers that increase density of HDPE above 0.995 g/cm2,
component-catalogue-disruptors-0015,Foamed thermoplastic non-polyolefin elastomers,
component-catalogue-disruptors-0016,Food residue,
component-catalogue-disruptors-0017,"Hazardous Contents (chemicals, household cleaning)",
component-catalogue-disruptors-0018,Inks that contain PVC,
component-catalogue-disruptors-0019,Inks that bleed,
component-catalogue-disruptors-0020,Laminated metal foil,
component-catalogue-disruptors-0021,Labels > 30 % of surface area,
component-catalogue-disruptors-0022,Metal components,
component-catalogue-disruptors-0023,non PO > 10%,
component-catalogue-disruptors-0024,Non-intentionally added substances,
component-catalogue-disruptors-0025,Nylon Barriers,
component-catalogue-disruptors-0026,Oxydegradable / OBD,
component-catalogue-disruptors-0027,Paper Label,
component-catalogue-disruptors-0028,PE Seal Layer,
component-catalogue-disruptors-0029,Potential interaction between packaging and product,
component-catalogue-disruptors-0030,Print covering > 50 %,
component-catalogue-disruptors-0031,PS fragments,
component-catalogue-disruptors-0032,PVC fragments,
component-catalogue-disruptors-0033,PVdC,
component-catalogue-disruptors-0034,PVOH > 5%,
component-catalogue-disruptors-0035,Silicone Valves,
component-catalogue-disruptors-0036,SiOX > 5%,
component-catalogue-disruptors-0037,Substances of very high concern,
component-catalogue-disruptors-0038,Too Big,
component-catalogue-disruptors-0039,Too Small,
