identifier,category,detailed
component-catalogue-function-0001,aerosol,
component-catalogue-function-0002,bag,
component-catalogue-function-0003,barrel,
component-catalogue-function-0004,blister pack,
component-catalogue-function-0005,bottle,
component-catalogue-function-0006,brick,
component-catalogue-function-0007,bucket,
component-catalogue-function-0008,cage,
component-catalogue-function-0009,can,
component-catalogue-function-0010,canister,
component-catalogue-function-0011,cap,
component-catalogue-function-0012,carton,
component-catalogue-function-0013,case,
component-catalogue-function-0014,container,
component-catalogue-function-0015,crate,
component-catalogue-function-0016,cup,
component-catalogue-function-0017,dispense,
component-catalogue-function-0018,envelope,
component-catalogue-function-0019,film,
component-catalogue-function-0020,gable,
component-catalogue-function-0021,jar,
component-catalogue-function-0022,jerrycan,
component-catalogue-function-0023,jug,
component-catalogue-function-0024,label,
component-catalogue-function-0025,lid,
component-catalogue-function-0026,net,
component-catalogue-function-0027,pallet,
component-catalogue-function-0028,peel pack,
component-catalogue-function-0029,plug,
component-catalogue-function-0030,pot,
component-catalogue-function-0031,pouch,
component-catalogue-function-0032,pump,
component-catalogue-function-0033,rack,
component-catalogue-function-0034,reel,
component-catalogue-function-0035,rod,
component-catalogue-function-0036,roll,
component-catalogue-function-0037,sachet,
component-catalogue-function-0038,shrinkwrap,
component-catalogue-function-0039,sleeve,
component-catalogue-function-0040,stretchwrap,
component-catalogue-function-0041,tray,
component-catalogue-function-0042,tub,
component-catalogue-function-0043,tube,
component-catalogue-function-0044,vial,
component-catalogue-function-0045,wire,
component-catalogue-function-0046,wrapper,
